,age,decile_score,priors_count,days_in_jail,c_days_from_compas,is_violent_recid,is_recid,Female-African-American,Female-Asian,Female-Caucasian,Female-Hispanic,Female-Native-American,Female-Other,Male-African-American,Male-Asian,Male-Caucasian,Male-Hispanic,Male-Native-American,Male-Other
0,69,1,0,0.0,1.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
1,34,3,0,10.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
2,24,4,4,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
3,23,8,1,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
4,43,1,2,0.0,76.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
5,44,1,0,1.0,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
6,41,6,14,6.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
7,43,4,3,0.0,1.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
8,39,1,0,2.0,1.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
9,21,3,1,0.0,308.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
10,27,4,0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
11,23,6,3,4.0,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
12,37,1,0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
13,41,4,0,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
14,47,1,1,14.0,490.0,0,1,False,False,True,False,False,False,False,False,False,False,False,False
15,31,3,7,3.0,71.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
16,37,1,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
17,25,10,3,1.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
18,31,5,6,1.0,1.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
19,31,3,5,1.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
20,64,6,13,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
21,21,9,1,3.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
22,27,2,0,0.0,0.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
23,21,4,0,1.0,2.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
24,24,4,1,0.0,1.0,0,1,False,False,False,False,False,False,False,False,False,True,False,False
25,43,1,1,1.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
26,32,3,0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
27,27,3,8,17.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
28,36,3,3,0.0,95.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
29,26,7,5,0.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
30,33,10,0,37.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
31,30,9,9,44.0,0.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
32,32,8,4,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
33,55,1,0,2.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
34,49,3,7,3.0,0.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True
35,26,8,6,12.0,382.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
36,33,5,4,11.0,1.0,0,1,False,False,True,False,False,False,False,False,False,False,False,False
37,24,2,1,1.0,0.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
38,34,9,21,33.0,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
39,29,2,0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
40,21,8,2,79.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
41,51,1,2,1.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
42,29,2,2,0.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
43,51,2,7,1.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
44,29,7,0,0.0,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
45,25,10,9,6.0,1.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
46,35,8,13,0.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
47,49,1,0,0.0,0.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
48,34,3,4,51.0,59.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
49,29,4,0,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
50,29,2,1,0.0,24.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
51,28,2,0,0.0,1.0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
52,48,6,20,10.0,562.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
53,63,1,1,8.0,219.0,0,0,False,False,False,True,False,False,False,False,False,False,False,False
54,31,5,15,135.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
55,24,4,2,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
56,30,7,0,23.0,0.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
57,49,1,4,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
58,53,5,8,13.0,13.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
59,35,3,5,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
60,63,7,10,35.0,906.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
61,27,10,15,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
62,38,2,4,1.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
63,22,4,1,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
64,22,10,2,124.0,114.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
65,29,9,4,18.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
66,62,1,0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
67,27,6,6,30.0,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
68,33,1,0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
69,56,1,0,3.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
70,45,1,6,241.0,1.0,1,1,False,False,False,False,False,False,False,False,False,True,False,False
71,22,4,1,1.0,1.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
72,39,4,1,4.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
