,age,sex,decile_score,priors_count,race,days_in_jail,c_days_from_compas,is_violent_recid,is_recid
0,69,Male,1,0,Other,0.0,1.0,0,0
1,34,Male,3,0,African-American,10.0,1.0,1,1
2,24,Male,4,4,African-American,1.0,1.0,0,1
3,23,Male,8,1,African-American,0.0,1.0,0,0
4,43,Male,1,2,Other,0.0,76.0,0,0
5,44,Male,1,0,Other,1.0,0.0,0,0
6,41,Male,6,14,Caucasian,6.0,1.0,0,1
7,43,Male,4,3,Other,0.0,1.0,0,0
8,39,Female,1,0,Caucasian,2.0,1.0,0,0
9,21,Male,3,1,Caucasian,0.0,308.0,1,1
10,27,Male,4,0,Caucasian,1.0,1.0,0,0
11,23,Male,6,3,African-American,4.0,0.0,0,1
12,37,Female,1,0,Caucasian,0.0,0.0,0,0
13,41,Male,4,0,African-American,0.0,1.0,0,0
14,47,Female,1,1,Caucasian,14.0,490.0,0,1
15,31,Male,3,7,African-American,3.0,71.0,0,1
16,37,Male,1,0,Hispanic,0.0,0.0,0,0
17,25,Male,10,3,African-American,1.0,1.0,0,0
18,31,Male,5,6,Caucasian,1.0,1.0,1,1
19,31,Male,3,5,Caucasian,1.0,1.0,0,1
20,64,Male,6,13,African-American,1.0,1.0,0,1
21,21,Male,9,1,African-American,3.0,1.0,0,1
22,27,Male,2,0,Caucasian,0.0,0.0,0,1
23,21,Female,4,0,Caucasian,1.0,2.0,0,0
24,24,Male,4,1,Hispanic,0.0,1.0,0,1
25,43,Male,1,1,Caucasian,1.0,1.0,0,0
26,32,Male,3,0,Other,1.0,1.0,0,0
27,27,Male,3,8,African-American,17.0,1.0,1,1
28,36,Female,3,3,Caucasian,0.0,95.0,0,0
29,26,Male,7,5,African-American,0.0,1.0,0,1
30,33,Male,10,0,African-American,37.0,1.0,1,1
31,30,Male,9,9,Caucasian,44.0,0.0,0,1
32,32,Male,8,4,African-American,1.0,1.0,0,1
33,55,Male,1,0,Caucasian,2.0,1.0,0,0
34,49,Male,3,7,Other,3.0,0.0,0,1
35,26,Male,8,6,Caucasian,12.0,382.0,0,0
36,33,Female,5,4,Caucasian,11.0,1.0,0,1
37,24,Male,2,1,Caucasian,1.0,0.0,0,1
38,34,Male,9,21,African-American,33.0,0.0,0,1
39,29,Male,2,0,Caucasian,1.0,1.0,0,0
